county,state,fips,zone,lat,lng,ne_lat,ne_lng,sw_lat,sw_lng
Pulaski,KY,021199,Eastern Time (US & Canada),37.1039,-84.5771,37.355781,-84.278589,36.8679216,-84.9070529
Robertson,KY,021201,Eastern Time (US & Canada),38.5188,-84.0521,38.6086029,-83.930295,38.422269,-84.1838839
Rockcastle,KY,021203,Eastern Time (US & Canada),37.3652,-84.316,37.5397059,-84.1290839,37.151978,-84.50297200000001
Rowan,KY,021205,Eastern Time (US & Canada),38.1963,-83.4211,38.396377,-83.1989689,38.0182172,-83.6354169
Russell,KY,021207,Central Time (US & Canada),36.9911,-85.0586,38.545196,-82.6743609,38.485755,-82.735154
Scott,KY,021209,Eastern Time (US & Canada),38.2915,-84.5839,38.493015,-84.401825,38.1107699,-84.74070990000001
Shelby,KY,021211,Eastern Time (US & Canada),38.2155,-85.1948,38.358021,-84.956852,38.036802,-85.467131
Simpson,KY,021213,Central Time (US & Canada),36.7419,-86.5823,36.8830309,-86.400689,36.6337369,-86.763308
Spencer,KY,021215,Eastern Time (US & Canada),38.0325,-85.3279,38.1474739,-85.102544,37.939839,-85.5169069
Taylor,KY,021217,Eastern Time (US & Canada),37.3664,-85.3279,37.4828009,-85.073792,37.1924409,-85.5870149
Todd,KY,021219,Central Time (US & Canada),36.8356,-87.1791,37.07569,-87.050179,36.641528,-87.33585200000002
Trigg,KY,021221,Central Time (US & Canada),36.8064,-87.8734,37.002047,-87.659814,36.633247,-88.1528234
Trimble,KY,021223,Eastern Time (US & Canada),38.613,-85.3374,,,,
Union,KY,021225,Central Time (US & Canada),37.6584,-87.9453,38.972543,-84.649226,38.922672,-84.6926
Warren,KY,021227,Central Time (US & Canada),36.9936,-86.4239,37.1906199,-86.1135049,36.776181,-86.67446400000001
Washington,KY,021229,Eastern Time (US & Canada),37.7534,-85.1747,37.9170529,-85.0005549,37.630907,-85.401347
Wayne,KY,021231,Eastern Time (US & Canada),36.8013,-84.8285,36.99752489999999,-84.5732135,36.6032719,-85.0640569
Webster,KY,021233,Central Time (US & Canada),37.5183,-87.6832,,,,
Whitley,KY,021235,Eastern Time (US & Canada),36.7582,-84.1452,36.9698104,-83.877319,36.5876899,-84.3558779
Wolfe,KY,021237,Eastern Time (US & Canada),37.7393,-83.4931,37.861685,-83.242807,37.619115,-83.708085
Woodford,KY,021239,Eastern Time (US & Canada),38.0423,-84.7435,38.195271,-84.624883,37.846714,-84.866951
Acadia,LA,022001,Central Time (US & Canada),30.2906,-92.412,30.481147,-92.1415069,30.049126,-92.632318
Allen,LA,022003,Central Time (US & Canada),30.6528,-92.8279,,,,
Ascension,LA,022005,Central Time (US & Canada),30.2035,-90.9113,30.34695,-90.6328109,30.062478,-91.106477
Assumption,LA,022007,Central Time (US & Canada),29.9006,-91.0626,30.081631,-90.885195,29.626368,-91.2599319
Avoyelles,LA,022009,Central Time (US & Canada),31.0762,-92.0013,31.3405518,-91.6772419,30.847968,-92.280738
Beauregard,LA,022011,Central Time (US & Canada),30.6485,-93.3434,30.88374,-92.9766389,30.402112,-93.741874
Bienville,LA,022013,Central Time (US & Canada),32.3472,-93.056,32.4025765,-92.962954,32.3084,-92.9982809
Bossier,LA,022015,Central Time (US & Canada),32.6794,-93.6052,33.0194909,-93.383295,32.235749,-93.845224
Caddo,LA,022017,Central Time (US & Canada),32.5797,-93.8821,33.0195439,-93.4623818,32.1955449,-94.043352
Calcasieu,LA,022019,Central Time (US & Canada),30.2292,-93.3579,30.490523,-92.887222,30.03731,-93.7658079
Caldwell,LA,022021,Central Time (US & Canada),32.0922,-92.1167,32.2774409,-91.867558,31.927088,-92.312885
Cameron,LA,022023,Central Time (US & Canada),29.8677,-93.14602,29.864693,-93.214772,29.7613805,-93.346735
Catahoula,LA,022025,Central Time (US & Canada),31.6661,-91.8471,,,,
Claiborne,LA,022027,Central Time (US & Canada),32.8226,-92.9957,32.5726219,-92.166935,32.5101439,-92.228505
Concordia,LA,022029,Central Time (US & Canada),31.4458,-91.6397,31.762086,-91.3779919,30.9764734,-91.8674219
De Soto,LA,022031,Central Time (US & Canada),32.0554,-93.7373,32.3456459,-93.353224,31.844391,-94.042823
East Baton Rouge,LA,022033,Central Time (US & Canada),30.5383,-91.0957,30.71931099999999,-90.8441809,30.312469,-91.3144735
East Carroll,LA,022035,Central Time (US & Canada),32.7326,-91.2351,33.005091,-91.0041455,32.5375389,-91.4576429
East Feliciana,LA,022037,Central Time (US & Canada),30.8451,-91.0455,30.999647,-90.826027,30.6498311,-91.320706
Evangeline,LA,022039,Central Time (US & Canada),30.729,-92.4059,31.00156,-92.1724009,30.48044299999999,-92.633839
Franklin,LA,022041,Central Time (US & Canada),32.1332,-91.6738,29.822948,-91.4783959,29.753266,-91.546909
Grant,LA,022043,Central Time (US & Canada),31.5997,-92.5594,31.797149,-92.196131,31.387946,-92.973529
Iberia,LA,022045,Central Time (US & Canada),29.8941,-91.7307,30.122484,-91.221729,29.4113544,-92.0350731
Iberville,LA,022047,Central Time (US & Canada),30.2585,-91.3494,30.497433,-91.0192299,30.025336,-91.701219
Jackson,LA,022049,Central Time (US & Canada),32.302,-92.5577,30.855282,-91.184832,30.809917,-91.2308709
Jefferson,LA,022051,Central Time (US & Canada),29.8206,-90.142,29.973646,-90.1277,29.94629,-90.208435
Jefferson Davis,LA,022053,Central Time (US & Canada),30.2669,-92.8138,30.488284,-92.583089,30.038149,-93.1311549
Lafayette,LA,022055,Central Time (US & Canada),30.2063,-92.0639,30.296503,-91.969376,30.127487,-92.1077619
